"count","first_content","second_content"
18.537.253,de.web.search.rezepte,de.web.rezept.show
17.565.476,de.mew.search.rezepte,de.mew.rezept.show
16.332.000,de.mew.rezept.show,
12.656.234,de.web.rezept.show,de.web.search.rezepte
12.041.960,de.mew.rezept.show,de.mew.search.rezepte
10.632.086,de.web.rezept.show,
8.128.500,de.amp.rezept.show,
8.001.637,de.web.search.rezepte,de.web.search.rezepte
7.882.947,de.web.rezept.show,de.web.rezept.show
7.453.641,de.mew.rezept.show,de.mew.rezept.show
6.612.244,de.mew.search.rezepte,de.mew.search.rezepte
6.380.098,de.amp.rezept.show,de.amp.rezept.show
4.940.641,de.mew.search.rezepte,
4.754.020,de.mew.forum.post.list,
4.177.125,de.web.search.rezepte,
4.168.225,de.web.magazin.article,de.web.magazin.article
2.627.672,de.web.forum.post.list,
2.366.860,de.mew.magazin.article,de.mew.magazin.article
2.093.778,de.web.rezept.show,de.web.rezept.show_print
1.418.699,de.mew.rezept.inspiration,de.mew.rezept.inspiration
1.332.189,de.web.index,de.web.search.rezepte
1.089.464,de.mew.index,de.mew.search.rezepte
1.064.427,de.web.rezept.show_print,
1.044.315,de.mew.search.foren,de.mew.forum.post.list
1.026.991,de.web.rezept.inspiration,de.web.rezept.inspiration
921.416,de.web.forum.post.list,de.web.forum.post.list
819.889,de.mew.forum.post.list,de.mew.forum.post.list
791.371,de.web.search.foren,de.web.forum.post.list
739.490,de.web.rezept.show_print,de.web.search.rezepte
644.886,de.mew.forum.post.list,de.mew.search.foren
611.121,de.mew.search.foren,
533.327,de.web.forum.post.list,de.web.search.foren
529.301,de.web.magazin.article,de.web.rezept.show
492.219,de.web.rezept.show,de.web.magazin.article
480.072,de.web.search.foren,
451.834,de.web.rezept.show_print,de.web.rezept.show
445.400,de.web.rezept.show,de.web.video.article
439.368,de.web.index,
435.369,de.web.rezept.overview,de.web.search.rezepte
405.973,de.web.rezept.bilder,de.web.rezept.bilder
397.921,de.web.magazin.article,
390.564,de.web.cookbook.cat.show,de.web.cookbook.cat.show
389.668,de.mew.magazin.article,
326.109,de.web.video.article,de.web.rezept.show
294.687,de.web.rezeptsammlung.show,de.web.rezeptsammlung.show
291.791,de.web.cookbook.cat.show,de.web.rezept.show
258.107,de.web.rezeptsammlung.show,de.web.rezept.show
245.905,de.web.video.article,
238.056,de.mew.index,
236.862,de.web.video.article,de.web.video.article
224.874,de.web.rezept.show_print,de.web.rezept.show_print
219.954,de.web.rezeptsammlung.show,
218.826,de.mew.rezept.inspiration,de.mew.rezept.show
213.927,de.web.index,de.web.magazin.article
207.173,de.web.rezept.show,de.web.rezeptsammlung.show
204.109,de.web.rezept.bilder,de.web.rezept.show
203.092,de.mew.rezept.show,de.web.user.login
197.027,de.web.rezept.show,de.web.index
188.902,de.mew.rezept.show,de.mew.rezept.inspiration
183.963,de.web.rezept.inspiration,de.web.rezept.show
180.414,de.web.forum.post.list,de.web.rezept.show
179.046,de.web.rezeptsammlung.show,de.mew.rezept.show
178.766,de.mew.search.foren,de.mew.search.foren
177.753,de.mew.magazin.article,de.mew.rezept.show
175.420,de.web.rezept.show,de.web.rezept.bilder
175.018,de.mew.rezept.show,de.mew.magazin.article
169.831,de.mew.search.rezepte,de.mew.index
167.924,de.mew.forum.post.list,de.mew.search.rezepte
165.241,de.web.search.foren,de.web.search.foren
165.034,de.mew.rezept.show,de.mew.index
164.340,de.web.rezept.show,de.web.cookbook.cat.show
164.258,de.web.search.rezepte,de.web.index
160.309,de.mew.video.article,
156.160,de.mew.forum.post.list,de.mew.rezept.show
154.131,de.mew.rezept.show,de.mew.forum.post.list
151.090,de.mew.search.rezepte,de.mew.video.article
150.456,de.web.rezept.show,de.web.forum.post.list
147.092,de.web.rezept.show,de.web.rezept.inspiration
145.512,de.web.rezept.show,de.web.user.register
144.986,de.mew.rezept.overview,de.mew.search.rezepte
144.190,de.web.forum.post.list,de.web.search.rezepte
143.858,de.web.user.login,de.mew.rezept.show
140.646,de.mew.rezept.inspirationbacken,de.mew.rezept.inspirationbacken
138.206,de.mew.rezept.show,de.web.rezeptsammlung.show
133.268,de.web.index,de.web.index
129.764,de.web.user.login,de.web.user.login
124.713,de.web.forum.thread.list,de.web.forum.post.list
110.714,de.web.rezept.resteverwertung,de.web.rezept.resteverwertung
110.088,de.mew.index,de.mew.rezept.inspiration
110.071,de.mew.index,de.mew.rezept.show
107.016,de.web.search.foren,de.web.search.rezepte
102.966,de.web.search.rezepte,de.web.video.article
102.642,de.mew.search.rezepte,de.mew.forum.post.list
102.250,de.web.rezept.inspirationbacken,de.web.rezept.inspirationbacken
102.056,de.mew.rezept.inspiration,
101.773,de.mew.search.rezepte,de.mew.magazin.article
101.002,de.web.user.register,de.web.rezept.show
100.576,de.web.rezept.katoverview,de.web.search.rezepte
98.738,de.mew.magazin.article,de.mew.search.rezepte
98.582,de.mew.search.foren,de.mew.search.rezepte
97.836,de.web.magazin.article,de.web.search.rezepte
97.424,de.web.search.rezepte,de.web.forum.post.list
97.408,de.mew.video.article,de.mew.search.rezepte
96.045,de.mew.video.article,de.mew.rezept.show
95.266,de.web.search.rezepte,de.web.rezept.overview
93.277,de.web.video.article,de.web.search.rezepte
90.920,de.web.magazin.article,de.web.index
90.370,de.web.album.show,de.web.album.show
88.610,de.mew.index,de.mew.index
87.465,de.web.search.rezepte,de.web.search.foren
85.877,de.web.index,de.web.rezept.show
84.178,de.web.forum.thread.list_current,de.web.forum.post.list
83.637,de.web.search.rezepte,de.web.magazin.article
78.689,de.mew.cookbook.cat.show,de.mew.rezept.show
78.524,de.web.index,de.web.rezept.overview
78.056,de.web.index,de.web.rezept.inspiration
77.553,de.mew.rezept.bilder,de.mew.rezept.bilder
76.926,de.web.forum.post.list,de.web.forum.thread.list
75.668,de.mew.search.rezepte,de.mew.search.foren
74.847,de.web.index,de.web.cookbook.cat.show
74.617,de.web.rezept.rdtoverview,de.web.rezept.show
74.356,de.web.user.login,
72.035,de.web.forum.list,de.web.forum.thread.list
70.079,de.web.rezept.show,de.web.search.foren
67.716,de.mew.rezept.show,de.mew.search.foren
64.053,de.web.forum.post.list,de.web.forum.thread.list_current
63.821,de.mew.rezept.inspiration,de.mew.search.rezepte
59.596,de.mew.video.article,de.mew.video.article
59.203,de.web.rezept.inspiration,
57.712,de.web.boards.show,de.web.boards.show
57.440,de.mew.rezept.bilder,de.mew.rezept.show
57.366,de.web.rezept.show,de.web.user.profile
55.124,de.web.index,de.web.rezept.bilder
54.232,de.mew.rezept.show,de.mew.video.article
52.986,de.mew.cookbook.cat.show,de.mew.cookbook.cat.show
52.820,de.web.user.login,de.web.activitystream
52.452,de.web.forum.thread.list_current,de.web.forum.thread.list_current
49.770,de.mew.rezept.show,de.mew.rezept.bilder
48.620,de.mew.rezept.show,de.mew.cookbook.cat.show
48.283,de.web.index,de.web.forum.post.list
45.358,de.web.rezept.show,de.web.rezept.overview
44.640,de.web.forum.post.list,de.web.index
44.502,de.web.rezept.show,de.web.rezept.rdtoverview
43.297,de.web.rezept.bilder,
43.157,de.web.rezept.overview,
41.842,de.web.magazin.article,de.web.search.magazin
41.311,de.web.user.datalost,de.web.user.datalost
40.596,de.web.user.profile,de.web.rezept.show
40.560,de.web.index,de.web.rezept.rdtoverview
38.704,de.web.index,de.web.user.login
